id,datum,open_meteo_radiation,kmi_radiation_avg,kaggle_radiation_avg
554,2021-07-07 00:00:00,232.25,,243.265
555,2021-07-08 00:00:00,232.125,,184.675
556,2021-07-09 00:00:00,249.875,,234.185
557,2021-07-10 00:00:00,119.7083333333,,178.775
558,2021-07-11 00:00:00,209.1666666667,,236.075
559,2021-07-12 00:00:00,157.2083333333,,143.075
560,2021-07-13 00:00:00,66.5833333333,,37.455
561,2021-07-14 00:00:00,69.6666666667,,23.26
562,2021-07-15 00:00:00,73.1666666667,,35.825
563,2021-07-16 00:00:00,151.5416666667,,90.27
564,2021-07-17 00:00:00,312.2083333333,,269.75
565,2021-07-18 00:00:00,316.625,,320.95
566,2021-07-19 00:00:00,273.4166666667,,298.34
567,2021-07-20 00:00:00,265.4583333333,,308.435
568,2021-07-21 00:00:00,307.0416666667,,309.94
569,2021-07-22 00:00:00,299.75,,275.81
570,2021-07-23 00:00:00,311.5833333333,,310.83
571,2021-07-24 00:00:00,119.2083333333,,62.26
572,2021-07-25 00:00:00,200.2916666667,,247.605
573,2021-07-26 00:00:00,140.3333333333,,208.48
574,2021-07-27 00:00:00,131.8333333333,,159
575,2021-07-28 00:00:00,208.2916666667,,218.435
576,2021-07-29 00:00:00,210.125,,196.24
577,2021-07-30 00:00:00,198.7916666667,,216.185
578,2021-07-31 00:00:00,205.9166666667,,165.105
579,2021-08-01 00:00:00,151.4166666667,,131.915
580,2021-08-02 00:00:00,170,,167.17
581,2021-08-03 00:00:00,224,,174.73
582,2021-08-04 00:00:00,222.1666666667,,173.675
583,2021-08-05 00:00:00,233.125,,209.215
584,2021-08-06 00:00:00,182.4166666667,,144.885
585,2021-08-07 00:00:00,206.75,,160.015
586,2021-08-08 00:00:00,205.375,,193.145
587,2021-08-09 00:00:00,187.625,,155.8
588,2021-08-10 00:00:00,138.2083333333,,170.53
589,2021-08-11 00:00:00,268.125,,225.005
590,2021-08-12 00:00:00,209.9583333333,,217.555
591,2021-08-13 00:00:00,233.875,,244.315
592,2021-08-14 00:00:00,183.0833333333,,284.205
593,2021-08-15 00:00:00,225.3333333333,,227.35
594,2021-08-16 00:00:00,87.2916666667,,80
595,2021-08-17 00:00:00,70.7083333333,,85.195
596,2021-08-18 00:00:00,119.2083333333,,95.895
597,2021-08-19 00:00:00,111.0833333333,,80.875
598,2021-08-20 00:00:00,142.0416666667,,138.38
599,2021-08-21 00:00:00,173.3333333333,,214.275
600,2021-08-22 00:00:00,120.7083333333,,126.28
601,2021-08-23 00:00:00,123.2916666667,,111.095
602,2021-08-24 00:00:00,200.6666666667,,252.15
603,2021-08-25 00:00:00,242.9166666667,,252.095
604,2021-08-26 00:00:00,126.3333333333,,115.715
605,2021-08-27 00:00:00,167.125,,118.49
606,2021-08-28 00:00:00,159.875,,124.27
607,2021-08-29 00:00:00,71.625,,58.24
608,2021-08-30 00:00:00,106.9583333333,,84.345
